CustomerID,Gender,Age,Annual_Income,Spending_Score,Purchase_Frequency,Recency_Days,Avg_Order_Value
CUST1000,Male,41,100,7,34,47,254.2
CUST1001,Female,69,71,46,38,1,215.27
CUST1002,Female,28,43,13,34,90,458.27
CUST1003,Female,66,92,40,18,142,187.57
CUST1004,Male,25,106,42,30,320,294.49
CUST1005,Male,53,83,9,15,38,319.81
CUST1006,Male,55,61,50,27,293,16.42
CUST1007,Female,57,127,27,34,139,335.13
CUST1008,Female,37,108,66,38,356,97.24
CUST1009,Female,52,124,5,33,333,480.92
CUST1010,Male,65,76,29,24,259,82.84
CUST1011,Female,42,130,37,15,161,213.17
CUST1012,Female,52,83,38,30,178,51.82
CUST1013,Male,42,90,83,42,10,498.47
CUST1014,Male,46,30,8,17,261,256.08
CUST1015,Male,35,104,65,5,138,301.74
CUST1016,Male,63,104,86,29,172,42.87
CUST1017,Female,35,62,17,4,13,377.48
CUST1018,Male,19,99,71,10,168,112.85
CUST1019,Male,52,53,89,17,130,450.05
CUST1020,Female,33,114,45,10,84,110.52
CUST1021,Male,58,47,4,17,321,103.44
CUST1022,Male,53,108,36,20,319,27.91
CUST1023,Male,50,115,70,24,101,241.31
CUST1024,Female,21,37,31,5,329,286.77
CUST1025,Female,50,136,19,34,273,42.2
CUST1026,Male,31,24,61,6,265,390.01
CUST1027,Female,38,132,54,2,38,232.11
CUST1028,Female,65,83,39,13,94,266.95
CUST1029,Male,37,114,91,43,95,225.97
CUST1030,Female,25,48,74,43,305,206.37
CUST1031,Male,24,66,90,48,69,284.22
CUST1032,Male,20,109,19,11,318,86.07
CUST1033,Female,34,24,39,47,236,99.14
CUST1034,Female,50,136,67,23,334,432.27
CUST1035,Female,65,33,45,16,137,473.6
CUST1036,Male,29,72,13,31,76,192.92
CUST1037,Male,68,110,92,11,35,142.66
CUST1038,Female,39,15,58,16,1,325.56
CUST1039,Male,39,134,20,8,296,210.28
CUST1040,Male,63,83,92,4,320,22.44
CUST1041,Female,47,123,72,40,60,86.51
CUST1042,Male,55,18,61,4,320,360.83
CUST1043,Female,55,30,39,25,349,332.87
CUST1044,Male,62,38,1,3,328,23.28
CUST1045,Female,68,94,3,32,267,118.77
CUST1046,Male,25,133,77,3,361,123.23
CUST1047,Female,44,16,92,27,229,339.23
CUST1048,Female,44,127,62,29,270,19.66
CUST1049,Male,51,106,63,32,316,61.01
CUST1050,Female,38,46,25,19,286,401.96
CUST1051,Female,47,105,56,21,291,97.49
CUST1052,Female,50,98,33,5,213,329.85
CUST1053,Female,45,38,38,18,165,126.71
CUST1054,Female,64,26,6,28,5,58.73
CUST1055,Female,50,64,58,42,339,129.15
CUST1056,Male,22,49,44,22,78,363.91
CUST1057,Male,65,138,45,21,62,429.29
CUST1058,Male,36,47,32,6,132,416.81
CUST1059,Male,21,47,45,1,89,204.62
CUST1060,Male,52,75,61,5,237,337.36
CUST1061,Male,66,65,47,41,42,110.44
CUST1062,Female,34,57,21,12,89,153.64
CUST1063,Male,61,115,80,26,296,449.2
CUST1064,Male,45,26,85,46,328,16.37
CUST1065,Female,47,81,75,34,295,51.9
CUST1066,Male,46,79,36,49,104,111.86
CUST1067,Female,63,47,99,14,14,23.0
CUST1068,Male,23,54,19,26,288,98.9
CUST1069,Female,52,88,20,45,179,295.69
CUST1070,Female,58,57,57,27,125,216.5
CUST1071,Male,54,58,18,9,353,447.41
CUST1072,Male,41,43,47,26,23,410.55
CUST1073,Female,46,27,49,47,63,177.49
CUST1074,Female,66,26,14,22,143,137.12
CUST1075,Female,63,109,15,47,153,196.05
CUST1076,Female,48,60,31,30,145,299.24
CUST1077,Male,52,16,1,43,225,141.35
CUST1078,Male,50,139,54,48,309,315.83
CUST1079,Male,69,129,3,17,104,210.61
CUST1080,Female,38,128,16,26,104,280.5
CUST1081,Female,49,49,87,36,39,223.7
CUST1082,Male,40,101,57,1,198,154.29
CUST1083,Male,50,95,75,8,134,474.74
CUST1084,Male,20,104,12,49,67,384.17
CUST1085,Male,35,22,74,35,179,78.66
CUST1086,Female,42,107,96,15,42,435.55
CUST1087,Female,59,40,16,47,15,248.84
CUST1088,Female,48,88,72,22,111,448.33
CUST1089,Female,20,104,76,14,157,401.93
CUST1090,Male,57,48,24,26,289,218.35
CUST1091,Female,63,129,28,28,231,21.01
CUST1092,Female,41,119,8,23,157,141.65
CUST1093,Female,67,21,92,14,38,275.4
CUST1094,Female,49,82,36,24,97,320.4
CUST1095,Female,64,72,90,2,289,136.36
CUST1096,Female,39,131,8,45,254,78.28
CUST1097,Male,40,128,58,26,196,419.12
CUST1098,Male,19,123,60,14,86,492.36
CUST1099,Male,44,89,50,7,322,267.59
CUST1100,Male,59,43,28,3,10,94.12
CUST1101,Female,19,134,92,47,5,143.43
CUST1102,Male,43,50,41,23,123,19.01
CUST1103,Female,34,103,64,46,330,458.01
CUST1104,Female,57,35,27,43,353,67.7
CUST1105,Male,50,139,63,47,118,292.49
CUST1106,Male,26,135,17,45,294,144.29
CUST1107,Female,60,50,73,18,159,281.55
CUST1108,Male,65,24,33,38,303,329.2
CUST1109,Male,56,115,84,35,228,416.57
CUST1110,Male,46,87,77,15,216,111.15
CUST1111,Male,59,38,92,25,184,15.39
CUST1112,Female,43,78,29,37,15,77.07
CUST1113,Female,52,113,13,28,157,451.01
CUST1114,Female,67,63,46,10,136,438.21
CUST1115,Female,42,113,35,39,261,302.73
CUST1116,Female,41,126,6,17,157,304.25
CUST1117,Male,30,50,82,39,47,335.87
CUST1118,Female,24,96,69,22,324,95.93
CUST1119,Female,53,127,47,26,332,458.06
CUST1120,Female,62,117,25,44,173,215.2
CUST1121,Female,37,110,66,25,130,197.74
CUST1122,Male,18,38,10,17,95,264.27
CUST1123,Male,25,37,56,13,115,33.01
CUST1124,Male,63,76,30,20,243,91.48
CUST1125,Male,33,110,5,25,292,371.64
CUST1126,Female,31,51,33,4,282,50.57
CUST1127,Female,29,26,65,10,299,305.54
CUST1128,Male,68,127,18,3,283,130.22
CUST1129,Female,40,69,96,41,69,200.75
CUST1130,Male,32,27,49,45,148,151.46
CUST1131,Male,45,37,11,18,11,184.28
CUST1132,Male,51,103,85,47,254,362.33
CUST1133,Male,19,113,26,36,330,155.59
CUST1134,Female,49,119,63,47,360,287.54
CUST1135,Male,40,44,89,22,38,243.26
CUST1136,Female,39,31,86,34,134,335.2
CUST1137,Female,68,127,59,47,200,469.05
CUST1138,Male,42,76,27,8,23,368.96
CUST1139,Female,39,98,49,40,303,115.32
CUST1140,Female,39,126,77,49,346,25.28
CUST1141,Male,66,103,33,44,302,138.51
CUST1142,Female,69,100,98,19,363,301.59
CUST1143,Male,59,27,99,42,218,35.2
CUST1144,Male,23,73,1,41,141,253.22
CUST1145,Male,32,33,21,37,104,302.45
CUST1146,Female,60,63,55,6,210,173.78
CUST1147,Female,54,114,6,26,111,387.75
CUST1148,Male,50,26,92,34,104,62.23
CUST1149,Male,25,75,81,45,316,46.82
CUST1150,Female,61,119,69,6,171,366.81
CUST1151,Male,61,33,95,37,356,252.79
CUST1152,Male,22,90,5,33,324,347.32
CUST1153,Female,56,23,3,22,133,223.07
CUST1154,Female,21,85,53,21,293,130.74
CUST1155,Male,23,42,23,6,328,411.36
CUST1156,Female,62,92,53,6,127,401.71
CUST1157,Female,49,109,37,48,106,350.4
CUST1158,Male,69,66,74,4,92,143.35
CUST1159,Female,47,97,74,30,287,299.21
CUST1160,Male,64,136,83,11,51,186.88
CUST1161,Female,52,125,17,30,29,54.88
CUST1162,Female,57,30,85,31,296,459.48
CUST1163,Female,69,131,78,24,297,77.04
CUST1164,Male,33,83,73,9,214,475.62
CUST1165,Female,30,113,1,3,267,228.54
CUST1166,Male,67,26,51,31,257,100.72
CUST1167,Male,59,39,45,40,302,275.53
CUST1168,Male,47,66,77,37,101,437.74
CUST1169,Female,36,137,4,36,346,368.79
CUST1170,Female,34,99,62,24,110,405.21
CUST1171,Male,36,114,65,31,182,332.8
CUST1172,Female,45,67,32,6,313,349.22
CUST1173,Male,43,37,34,2,1,426.11
CUST1174,Female,54,30,92,20,319,132.34
CUST1175,Male,43,71,95,28,55,249.82
CUST1176,Female,40,53,72,11,149,118.39
CUST1177,Male,26,123,39,4,309,493.96
CUST1178,Female,29,67,26,15,137,472.59
CUST1179,Male,18,56,34,6,202,29.32
CUST1180,Male,18,72,54,49,313,355.73
CUST1181,Male,64,53,3,30,117,463.37
CUST1182,Female,51,28,50,38,154,98.48
CUST1183,Female,49,109,12,2,291,288.29
CUST1184,Male,65,136,65,15,63,458.59
CUST1185,Female,42,19,54,11,244,26.63
CUST1186,Female,57,49,5,8,25,351.74
CUST1187,Female,62,101,94,26,90,155.7
CUST1188,Female,18,107,94,45,75,462.95
CUST1189,Male,33,121,57,44,294,485.82
CUST1190,Male,56,89,17,5,210,472.69
CUST1191,Female,22,32,47,6,347,242.36
CUST1192,Female,39,125,23,26,17,432.4
CUST1193,Female,46,90,79,4,128,423.83
CUST1194,Male,20,23,85,19,364,166.36
CUST1195,Male,29,88,14,20,251,416.17
CUST1196,Female,43,72,66,33,179,28.13
CUST1197,Female,33,122,75,20,182,302.17
CUST1198,Female,68,31,51,49,152,122.7
CUST1199,Female,54,139,38,12,25,69.08
